Nom,Date,Température,Pression au niveau mer,Humidité
NANTES-BOUGUENAIS,2018-05-31,289.8625,101498.75,91.0
GOURDON,2018-05-31,289.2,101732.5,89.25
STRASBOURG-ENTZHEIM,2018-01-06,292.53749999999997,101847.5,80.25
EMBRUN,2018-01-06,289.6375,,64.0
PERPIGNAN,2018-01-06,294.2625,101912.5,71.375
REIMS-PRUNAY,2018-01-06,290.95,101858.75,87.75
MILLAU,2018-01-06,289.5875,101878.75,75.75
AJACCIO,2018-01-06,292.7375,101981.25,78.125
NANCY-OCHEY,2018-01-06,290.02500000000003,101878.75,85.75
LIMOGES-BELLEGARDE,2018-01-06,289.8625,102047.5,80.5
TARBES-OSSUN,2018-01-06,291.325,101901.25,85.25
TOULOUSE-BLAGNAC,2018-01-06,294.66249999999997,101902.5,63.75
BOURGES,2018-01-06,290.925,102072.5,78.625
PTE DE CHASSIRON,2018-01-06,291.1375,102126.25,78.625
LYON-ST EXUPERY,2018-01-06,292.4,101951.25,68.875
BREST-GUIPAVAS,2018-01-06,289.04999999999995,102028.75,81.0
NANTES-BOUGUENAIS,2018-01-06,290.90000000000003,102051.25,79.875
NICE,2018-01-06,293.3,101837.5,72.875
KERGUELEN,2018-10-03,284.03000000000003,98888.0,90.2
STRASBOURG-ENTZHEIM,2018-10-03,284.5375,100488.75,80.25
PTE DE CHASSIRON,2018-10-03,285.275,99822.5,87.125
LE PUY-LOUDES,2018-10-03,283.3875,,76.5
ABBEVILLE,2018-10-03,285.05,99801.25,84.25
REIMS-PRUNAY,2018-10-03,285.0625,100100.0,85.375
EMBRUN,2018-10-03,278.75000000000006,,88.0
